iter	Passed	Remaining
161	300	1554
162	301	1546
163	301	1538
164	302	1530
165	302	1522
166	303	1514
167	304	1506
168	304	1498
169	305	1490
170	305	1483
171	306	1476
172	307	1470
173	308	1464
174	309	1457
175	309	1450
176	310	1442
177	310	1435
178	311	1429
179	312	1422
180	313	1417
181	314	1412
182	315	1406
183	315	1400
184	316	1394
185	317	1388
186	317	1382
187	318	1375
188	319	1369
189	320	1364
190	321	1359
191	322	1355
192	323	1350
193	323	1345
194	324	1339
195	325	1333
196	325	1328
197	326	1322
198	327	1317
199	327	1311
200	328	1306
201	329	1301
202	330	1295
203	330	1290
204	331	1284
205	331	1279
206	332	1274
207	333	1269
208	333	1263
209	334	1258
210	335	1253
211	336	1249
212	336	1244
213	337	1239
214	338	1234
215	338	1230
216	339	1225
217	340	1220
218	340	1215
219	341	1211
220	342	1206
221	343	1202
222	343	1197
223	344	1193
224	345	1188
225	345	1184
226	346	1179
227	347	1175
228	347	1170
229	348	1166
230	348	1161
231	349	1157
232	350	1154
233	351	1150
234	352	1146
235	352	1142
236	353	1138
237	354	1134
238	354	1130
239	355	1125
240	356	1121
241	356	1118
242	357	1114
243	358	1110
244	359	1106
245	359	1102
246	360	1098
247	360	1094
248	361	1090
249	362	1086
250	362	1082
251	363	1078
252	363	1074
253	364	1070
254	365	1067
255	366	1064
256	366	1060
257	367	1057
258	368	1054
259	369	1051
260	370	1048
261	370	1044
262	371	1041
263	372	1038
264	373	1036
265	374	1032
266	374	1029
267	375	1025
268	376	1022
269	376	1019
270	377	1015
271	378	1011
272	378	1008
273	379	1005
274	379	1001
275	381	999
276	382	997
277	382	994
278	383	991
279	384	987
280	384	984
281	385	981
282	386	978
283	386	974
284	387	971
285	387	968
286	388	965
287	389	962
288	389	959
289	390	955
290	391	952
291	391	949
292	392	946
293	392	943
294	393	940
295	393	936
296	394	933
297	395	931
298	396	929
299	397	926
300	397	924
301	398	921
302	399	918
303	399	915
304	400	912
305	401	910
306	402	907
307	403	905
308	403	903
309	404	900
310	405	897
311	405	894
312	406	892
313	406	889
314	407	886
315	408	883
316	408	880
317	409	877
318	409	875
319	410	873
320	411	870
321	412	868
322	412	865
323	413	862
324	414	860
325	414	857
326	415	855
327	416	853
328	417	850
329	417	848
330	418	845
331	419	843
332	419	840
333	420	838
334	421	835
335	421	833
336	422	830
337	422	828
338	423	825
339	423	823
340	424	820
341	425	818
342	426	816
343	427	814
344	427	812
345	428	810
346	429	807
347	429	805
348	430	802
349	431	800
350	431	798
351	432	796
352	433	793
353	433	791
354	434	789
355	434	786
356	435	784
357	436	782
358	436	779
359	437	777
360	437	775
361	438	772
362	439	770
363	439	768
364	440	767
365	441	764
366	442	763
367	443	761
368	443	759
369	444	756
370	445	754
371	445	752
372	446	750
373	447	748
374	448	746
375	448	744
376	449	742
377	450	740
378	450	738
379	451	736
380	452	734
381	452	732
382	453	730
383	454	728
384	454	726
385	456	725
386	456	723
387	457	721
388	458	719
389	458	717
390	459	715
391	460	713
392	460	711
393	461	710
394	462	708
395	463	707
396	464	705
397	465	703
398	465	701
399	466	699
400	467	698
401	468	696
402	468	694
403	469	692
404	470	691
405	471	689
406	472	688
407	472	686
408	473	684
409	474	682
410	474	680
411	475	678
412	476	677
413	477	675
414	477	673
415	478	671
416	479	670
417	480	668
418	480	666
419	481	664
420	482	662
421	482	661
422	483	659
423	483	657
424	484	656
425	485	654
426	486	653
427	487	651
428	488	650
429	489	648
430	489	646
431	490	644
432	491	643
433	492	641
434	492	640
435	493	638
436	494	636
437	494	635
438	495	633
439	496	631
440	496	629
441	497	627
442	498	626
443	498	624
444	499	622
445	499	620
446	500	619
447	501	618
448	502	616
449	503	614
450	503	613
451	504	611
452	505	610
453	506	608
454	506	606
455	507	605
456	508	604
457	509	602
458	509	600
459	510	598
460	510	597
461	511	595
462	512	593
463	512	592
464	513	590
465	513	588
466	514	587
467	515	585
468	516	584
469	516	582
470	517	581
471	518	579
472	518	578
473	519	576
474	520	575
475	521	573
476	521	572
477	522	570
478	522	568
479	523	567
480	524	565
481	524	563
482	525	562
483	525	560
484	526	558
485	526	557
486	527	555
487	528	554
488	528	552
489	529	550
490	530	549
491	530	548
492	531	546
493	532	545
494	533	543
495	533	542
496	534	540
497	535	539
498	535	538
499	536	536
500	537	535
501	538	533
502	538	532
503	539	530
504	539	529
505	540	527
506	541	526
507	541	524
508	542	523
509	542	521
510	543	519
511	543	518
512	544	516
513	545	515
514	546	514
515	547	513
516	547	511
517	548	510
518	549	508
519	549	507
520	550	506
521	551	504
522	551	503
523	552	501
524	553	500
525	553	498
526	554	497
527	554	495
528	555	494
529	555	493
530	556	491
531	557	490
532	557	488
533	558	487
534	558	485
535	559	484
536	560	483
537	561	481
538	561	480
539	562	479
540	563	477
541	564	476
542	564	475
543	565	473
544	566	472
545	566	471
546	567	469
547	567	468
548	568	467
549	569	465
550	569	464
551	570	462
552	571	461
553	571	460
554	572	458
555	572	457
556	573	456
557	573	454
558	574	453
559	575	452
560	576	450
561	576	449
562	577	448
563	578	447
564	579	445
565	579	444
566	580	443
567	581	441
568	581	440
569	582	439
570	583	438
571	583	436
572	584	435
573	584	434
574	585	432
575	586	431
576	586	430
577	587	428
578	587	427
579	588	426
580	588	424
581	589	423
582	590	422
583	591	421
584	592	419
585	592	418
586	593	417
587	594	416
588	594	415
589	595	413
590	596	412
591	596	411
592	597	410
593	597	408
594	598	407
595	599	406
596	599	404
597	600	403
598	601	402
599	601	401
600	602	399
601	602	398
602	603	397
603	603	395
604	604	394
605	605	393
606	606	392
607	606	391
608	607	390
609	608	388
610	609	387
611	609	386
612	610	385
613	611	384
614	611	383
615	612	381
616	612	380
617	613	379
618	614	378
619	614	376
620	615	375
621	616	374
622	616	373
623	617	371
624	617	370
625	618	369
626	619	368
627	619	367
628	620	366
629	621	365
630	622	363
631	623	362
632	623	361
633	624	360
634	625	359
635	625	358
636	626	356
637	626	355
638	627	354
639	628	353
640	628	352
641	629	350
642	629	349
643	630	348
644	630	347
645	631	346
646	632	344
647	632	343
648	633	342
649	633	341
650	634	340
651	635	339
652	636	338
653	637	337
654	637	335
655	638	334
656	639	333
657	639	332
658	640	331
659	641	330
660	641	329
661	642	328
662	643	326
663	643	325
664	644	324
665	644	323
666	645	322
667	646	321
668	646	319
669	647	318
670	647	317
671	648	316
672	649	315
673	649	314
674	650	313
675	651	312
676	652	311
677	653	310
678	653	309
679	654	307
680	655	306
681	655	305
682	656	304
683	657	303
684	657	302
685	658	301
686	658	300
687	659	299
688	660	297
689	660	296
690	661	295
691	661	294
692	662	293
693	663	292
694	663	291
695	664	290
696	664	289
697	665	288
698	666	287
699	667	286
700	668	284
701	668	283
702	669	282
703	670	281
704	670	280
705	671	279
706	671	278
707	672	277
708	673	276
709	673	275
710	674	274
711	675	273
712	675	271
713	676	270
714	676	269
715	677	268
716	677	267
717	678	266
718	679	265
719	679	264
720	680	263
721	681	262
722	682	261
723	682	260
724	683	259
725	684	258
726	685	257
727	685	256
728	686	255
729	687	254
730	687	253
731	688	251
732	688	250
733	689	249
734	689	248
735	690	247
736	691	246
737	691	245
738	692	244
739	692	243
740	693	242
741	694	241
742	694	240
743	695	239
744	696	238
745	697	237
746	697	236
747	698	235
748	699	234
749	699	233
750	700	232
751	701	231
752	701	230
753	702	229
754	702	228
755	703	227
756	704	225
757	704	224
758	705	223
759	705	222
760	706	221
761	706	220
762	707	219
763	708	218
764	708	217
765	709	216
766	709	215
767	710	214
768	711	213
769	712	212
770	712	211
771	713	210
772	714	209
773	714	208
774	715	207
775	715	206
776	716	205
777	717	204
778	717	203
779	718	202
780	718	201
781	719	200
782	720	199
783	720	198
784	721	197
785	721	196
786	722	195
787	722	194
788	723	193
789	723	192
790	724	191
791	725	190
792	726	189
793	726	188
794	727	187
795	728	186
796	728	185
797	729	184
798	730	183
799	731	182
800	731	181
801	732	180
802	733	179
803	733	178
804	734	177
805	734	176
806	735	175
807	736	174
808	736	173
809	737	173
810	738	172
811	738	171
812	739	170
813	740	169
814	741	168
815	741	167
816	742	166
817	743	165
818	743	164
819	744	163
820	745	162
821	746	161
822	746	160
823	747	159
824	748	158
825	748	157
826	749	156
827	749	155
828	750	154
829	751	153
830	751	152
831	752	151
832	753	150
833	753	150
834	754	149
835	754	148
836	755	147
837	756	146
838	757	145
839	757	144
840	758	143
841	759	142
842	760	141
843	760	140
844	761	139
845	762	138
846	762	137
847	763	136
848	764	135
849	764	134
850	765	134
851	766	133
852	766	132
853	767	131
854	768	130
855	768	129
856	769	128
857	770	127
858	771	126
859	771	125
860	772	124
861	773	123
862	774	122
863	774	121
864	775	121
865	776	120
866	776	119
867	777	118
868	778	117
869	778	116
870	779	115
871	780	114
872	780	113
873	781	112
874	781	111
875	782	110
876	782	109
877	783	108
878	784	107
879	784	107
880	785	106
881	786	105
882	786	104
883	787	103
884	788	102
885	789	101
886	789	100
887	790	99
888	790	98
889	791	97
890	792	96
891	792	95
892	793	95
893	793	94
894	794	93
895	794	92
896	795	91
897	796	90
898	796	89
899	797	88
900	798	87
901	798	86
902	799	85
903	799	84
904	800	84
905	801	83
906	802	82
907	803	81
908	803	80
909	804	79
910	805	78
911	805	77
912	806	76
913	806	75
914	807	75
915	808	74
916	808	73
917	809	72
918	809	71
919	810	70
920	811	69
921	811	68
922	812	67
923	812	66
924	813	65
925	814	65
926	814	64
927	815	63
928	816	62
929	817	61
930	817	60
931	818	59
932	819	58
933	820	57
934	820	57
935	821	56
936	822	55
937	822	54
938	823	53
939	824	52
940	824	51
941	825	50
942	825	49
943	826	49
944	827	48
945	827	47
946	828	46
947	828	45
948	829	44
949	829	43
950	830	42
951	831	41
952	832	41
953	832	40
954	833	39
955	834	38
956	835	37
957	835	36
958	836	35
959	837	34
960	837	33
961	838	33
962	838	32
963	839	31
964	840	30
965	840	29
966	841	28
967	841	27
968	842	26
969	843	26
970	843	25
971	844	24
972	844	23
973	845	22
974	846	21
975	847	20
976	847	19
977	848	19
978	849	18
979	850	17
980	850	16
981	851	15
982	852	14
983	852	13
984	853	12
985	853	12
986	854	11
987	855	10
988	855	9
989	856	8
990	856	7
991	857	6
992	857	6
993	858	5
994	859	4
995	859	3
996	860	2
997	860	1
998	861	0
999	862	0
